Gene_name,activator,agonist,antibody,binder,blocker,cleavage,immunotherapy,inhibitor,inverse agonist,modulator,negative modulator,other/unknown,positive modulator,potentiator,vaccine
ANXA2,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0
ANXA2P1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ANXA2P2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ANXA2P3,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0
ANXA3,0,25,0,0,0,0,0,2,0,0,0,0,0,0,0
ANXA4,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0
ANXA5,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0
ANXA6,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0
ANXA7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
AOAH,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
AOC1,1,15,0,0,0,0,0,26,0,0,0,0,0,0,0
AOC3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AOPEP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AOX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1B1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AP2B1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AP2M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APAF1,0,50,0,0,0,0,0,21,0,1,0,0,0,0,0
APBA1,0,22,0,0,0,0,0,10,0,0,0,0,0,0,0
APBA2,0,10,0,0,0,0,0,27,0,0,0,0,0,0,0
APBB1,0,12,0,0,0,0,0,29,0,0,0,0,0,0,0
APBB1IP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APBB2,0,12,0,0,0,0,0,20,0,2,0,0,0,0,0
APC,0,12,0,0,0,0,0,5,0,0,0,0,0,0,0
APCDD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APCS,0,11,1,0,0,0,0,5,0,1,0,0,0,0,0
APEH,0,12,0,0,0,0,0,4,0,0,0,0,0,0,0
APEX1,0,4,0,0,0,0,0,21,0,0,0,0,0,0,0
APH1A,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0
APH1B,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0
APLF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APLNR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
APLP1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0
APLP2,0,5,0,0,0,0,0,18,0,0,0,0,0,0,0
APOA1,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0
APOA2,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0
APOA4,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0
APOA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOB,0,21,0,0,0,0,0,9,0,0,0,0,0,0,0
APOBEC1,0,15,0,0,0,0,0,12,0,0,0,0,0,0,0
APOBEC3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOBEC3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOBEC3F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOBEC3G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOBER1,0,18,0,0,0,0,0,8,0,0,0,0,0,0,0
APOC1,0,19,0,0,0,0,0,8,0,1,0,0,0,0,0
APOC1P1,0,19,0,0,0,0,0,5,0,0,0,0,0,0,0
APOC2,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0
APOC3,0,20,0,0,0,0,0,4,0,0,0,0,0,0,0
APOC4,0,18,0,0,0,0,0,22,0,0,0,0,0,0,0
APOD,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0
APOE,0,15,0,0,0,0,0,6,0,2,0,0,0,0,0
APOF,0,60,0,0,0,0,0,27,0,4,0,0,0,0,0
APOH,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0
APP,0,18,0,6,0,0,0,3,0,3,1,0,0,0,2
APPL1,0,13,0,0,0,0,0,10,0,0,0,0,0,0,0
APRT,0,20,0,0,0,0,0,6,0,1,0,0,0,0,0
AQP1,0,23,0,0,0,0,0,6,0,0,0,0,0,0,0
AQP2,0,40,0,0,0,0,0,8,0,0,0,0,0,0,0
AQP3,0,17,0,0,0,0,0,31,0,0,0,0,0,0,0
